% X / mm,Y / mm,Z / mm
-26.25,-26.25,-2.00
-15.75,-26.25,-2.00
-5.25,-26.25,-2.00
5.25,-26.25,-2.00
15.75,-26.25,-2.00
26.25,-26.25,-2.00
-26.25,-15.75,-2.00
-15.75,-15.75,-2.00
-5.25,-15.75,-2.00
5.25,-15.75,-2.00
15.75,-15.75,-2.00
26.25,-15.75,-2.00
-26.25,-5.25,-2.00
-15.75,-5.25,-2.00
-5.25,-5.25,-2.00
5.25,-5.25,-2.00
15.75,-5.25,-2.00
26.25,-5.25,-2.00
-26.25,5.25,-2.00
-15.75,5.25,-2.00
-5.25,5.25,-2.00
5.25,5.25,-2.00
15.75,5.25,-2.00
26.25,5.25,-2.00
-26.25,15.75,-2.00
-15.75,15.75,-2.00
-5.25,15.75,-2.00
5.25,15.75,-2.00
15.75,15.75,-2.00
26.25,15.75,-2.00
-26.25,26.25,-2.00
-15.75,26.25,-2.00
-5.25,26.25,-2.00
5.25,26.25,-2.00
15.75,26.25,-2.00
26.25,26.25,-2.00
37.16,-26.25,2.52
37.16,-15.75,2.52
37.16,-5.25,2.52
37.16,5.25,2.52
37.16,15.75,2.52
37.16,26.25,2.52
44.58,-30.00,9.94
44.58,-18.00,9.94
44.58,-6.00,9.94
44.58,6.00,9.94
44.58,18.00,9.94
44.58,30.00,9.94
36.85,36.85,6.05
26.25,37.16,2.52
15.75,37.16,2.52
5.25,37.16,2.52
-5.25,37.16,2.52
-15.75,37.16,2.52
-26.25,37.16,2.52
30.00,44.58,9.94
18.00,44.58,9.94
6.00,44.58,9.94
-6.00,44.58,9.94
-18.00,44.58,9.94
-30.00,44.58,9.94
-36.85,36.85,6.05
-37.16,26.25,2.52
-37.16,15.75,2.52
-37.16,5.25,2.52
-37.16,-5.25,2.52
-37.16,-15.75,2.52
-37.16,-26.25,2.52
-44.58,30.00,9.94
-44.58,18.00,9.94
-44.58,6.00,9.94
-44.58,-6.00,9.94
-44.58,-18.00,9.94
-44.58,-30.00,9.94
-36.85,-36.85,6.05
-26.25,-37.16,2.52
-15.75,-37.16,2.52
-5.25,-37.16,2.52
5.25,-37.16,2.52
15.75,-37.16,2.52
26.25,-37.16,2.52
-30.00,-44.58,9.94
-18.00,-44.58,9.94
-6.00,-44.58,9.94
6.00,-44.58,9.94
18.00,-44.58,9.94
30.00,-44.58,9.94
36.85,-36.85,6.05
